run_number,fill_number,hlt_key,l1_hlt_mode,era,b_field,energy
372415,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372405,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372403,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372399,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372398,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372397,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372395,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372388,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372384,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372383,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372381,9075,/cdaq/special/TOTEMRomanPots/2023/v2.1/HLT/V1,TOTEM_RomanPotAlignment,Run2023D,3.8,0.0
372380,9075,/cdaq/circulating/2023/v3.0/HLT/V2,testingL1T,Run2023D,3.8,0.0
372379,9075,/cdaq/cosmic/commissioning2023/CRAFT/v3.0/HLT/V6,testingHLT,Run2023D,3.8,0.0
372374,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372373,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372372,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372371,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372370,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372369,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372368,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372367,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372366,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372365,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372360,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372356,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372352,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372322,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372321,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372320,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372319,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372318,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372317,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372316,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372310,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372309,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372308,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372306,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372305,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372304,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372303,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372297,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372286,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372285,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372279,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372278,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372273,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372271,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372270,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372269,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372268,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372267,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372266,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372205,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372203,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372200,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372198,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372185,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372183,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372174,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372171,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372167,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372165,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.8,0.0
372160,9075,/cdaq/special/2023/ZDCTest/HLT/V8,testingL1T,Run2023D,3.8,0.0
372153,9075,/cdaq/special/2023/ZDCTest/HLT/V8,testingL1T,Run2023D,3.8,0.0
372152,9075,,testingL1T,Run2023D,3.8,0.0
372151,9075,/cdaq/special/2023/ZDCTest/HLT/V8,testingL1T,Run2023D,3.8,0.0
372149,9075,/cdaq/special/2023/ZDCTest/HLT/V8,testingL1T,Run2023D,3.8,0.0
372147,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,3.43,0.0
372137,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,2.2,0.0
372128,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,0.99,0.0
372111,9075,/cdaq/cosmic/commissioning2023/CRAFT/v2.6/HLT/V1,cosmics2023,Run2023D,0.52,0.0
